key,pt_BR
level.tutorial.repellent.popup_2,Aperte | perto do tanque para ativá-lo.
level.tutorial.repellent.popup_1,Seu repelente está pronto para atrasar a próxima onda.
properties.orchard.growthtime,Tempo de crescimento: {} ciclos
properties.keeper2.spherefractiondamage,Dano da esfera transcendendo a dureza da pedra {.percent}
properties.sword.brake,Agilidade da espada: {}
upgrades.artilleryflakmultishot2.title,Multidisparo flak 2
upgrades.swordstabfast2.desc,Aumenta mais a velocidade e frequência da estocada.
upgrades.sword.desc,Uma espada resistente que causa mais dano quanto mais distância ela percorrer enquanto corta. Pode ser disparada para esfaquear monstros e tem uma placa protetora na base que bloqueia projéteis.
upgrades.artilleryflakmultishot1.title,Multidisparo flak 1
upgrades.artilleryshotprediction.desc,Mostra a trajetória esperada de uma granada lançada.
upgrades.shieldbattlereflect.desc,Ativa uma habilidade de combate que reflete projéteis por um curto período.
upgrades.orchardbattleshieldstrong.title,Escudos Fortes
upgrades.swordlongblade1.title,Lâmina longa 1
level.station.battle.navbar.stab,Estocar
properties.converter.irontowater,{} de ferro para 1 de água
upgrades.minoriron.title,Enviar ferro
upgrades.keeper2bundleinfinite.desc,Os conjuntos permanecerão estáveis por um longo tempo.
worldmodifier.resourcedesc,"Há apenas alguns veios de ferro ao redor, mas eles são bem grandes."
loadout.keeper,GUARDIÃO
upgrades.drillbotstrength4.desc,Aumenta a força com que Brocarlito escava.
upgrades.swordstabexplodedamage.title,Dano da bomba
upgrades.prospectionmeterwater2.title,Bússola de água
loadout.keeperoptions.title,Escolha seu Guardião!
properties.prospectionmeter.range,Alcance: {} espaços
upgrades.orchardbattleshield.title,Escudo de projéteis
loadout.mapsize.large,Grande
properties.keeper2.reflectsphere,Refletir esferas chegando
upgrades.orchardbattlerooting.title,Chão de raízes
properties.repellent.growthtime,Tempo de produção: {} ciclos
properties.converter.irontocobalt,{} de ferro para 1 de cobalto
upgrades.dome3health1.desc,Aumenta permanentemente a integridade estrutural da sua cúpula.
upgrades.teleporterteleportresourcescooldown.title,Reativação do teleporte
upgrades.shieldovercharge.desc,"Usa água para sobrecarregar manualmente seu escudo, assim ele absorverá mais dano na onda seguinte."
upgrades.stunlaserspeed2.title,Velocidade 2
upgrades.drillbotbuff1.desc,"Petiscos para o Brocarlito crescerão no ninho sob a cúpula. Você pode levá-los ao Brocarlito, que ficará feliz e empolgado depois de comer um."
options.keybindings.action.dome.battle,Batalha
upgrades.orchardovercharge.title,Sobrecarregar o Pomar
properties.teleporter.teleportresourcesarea,Alcance do teleporte: {} espaços
upgrades.swordreflection1.desc,"Aumenta o tamanho da placa protetora, e permite refletir projéteis de energia."
upgrades.blastminingblast2.title,Explosão 2
upgrades.swordreflection1.title,Reflexão 1
upgrades.keeper2pinballlifetime2.desc,"Estabiliza a esfera cinética, para que flutue por mais tempo."
options.keybindings.action.general.left,Esquerda
properties.laser.movespeed,Velocidade de movimento {}
upgrades.dome3health2.desc,Aumenta permanentemente a integridade estrutural da sua cúpula.
upgrades.drill2.title,Força da broca 2
options.keybindings.rebinding,Remapear
level.tutorial.assessor.carry.desc1_1,"Após travados em você, eles seguirão você mesmo ao soltar a tecla de coleta."
upgrades.keeper2pinballdamage1.title,Dano de esfera cinética 1
upgrades.stunlaserspeed2.desc,O laser atordoante se move ainda mais rápido e continua a mirar em monstros mesmo enquanto esfria.
options.keybindings.title,MAPEAMENTO DO CONTROLE
upgrades.keeper2pinballmorespheres1.desc,Adiciona um módulo suplementar ao gerador de gravidade para que possa encurralar mais esferas cinéticas.
level.gameover.prestige.uploading.finalfailed,"não foi possível enviar o novo placar, desculpe!"
upgrades.blastminingblast1.desc,Aumenta a força da explosão.
upgrades.stunlaserduration2.desc,O laser atordoante esfria mais rápido e dispara por mais tempo.
upgrades.prospectionmetersand1.desc,Mostra a distância até os depósitos de cobalto mais próximos.
pause.gamepadcontrols.move,Mover-se
properties.blastmining.bombs,Cargas {}
upgrades.drillbotstrength2.title,Força 2
loadout.prestige.cobalt.description,"O mapa não tem cobalto e não é possível gerá-lo, mas você começa com uma reserva grande."
