key,bg_BG
upgrades.dome3health1.desc,Перманентно увеличава структурната здравина на твоя купол.
upgrades.teleporterteleportresourcescooldown.title,Teleport Cooldown
upgrades.shieldovercharge.desc,"Използвай вода, за да презаредиш ръчно твоя щит, така че той да поема повече щети в следващата вълна."
upgrades.stunlaserspeed2.title,Скорост 2
upgrades.drillbotbuff1.desc,Treats grow at the nest under the dome. Take them to Drillbert who will happily gobble them up to get energized.
options.keybindings.action.dome.battle,Битка
upgrades.orchardovercharge.title,Overcharge Orchard
properties.teleporter.teleportresourcesarea,Обхват на Телепортиране {} плочки
upgrades.swordreflection1.desc,Увеличи размера на защитната подложка и я направи да отразява изстрелите на враговете.
upgrades.blastminingblast2.title,Пробив 2
upgrades.swordreflection1.title,Отблъскване 1
upgrades.keeper2pinballlifetime1.desc,"Стабилизира кинетичната сфера, така-че тя ще трае по-дълго."
options.keybindings.action.general.left,Наляво
properties.laser.movespeed,Move Speed {}
upgrades.dome3health2.desc,Перманентно увеличава структурната здравина на твоя купол.
upgrades.drill2.title,Сила на Бургията 2
options.keybindings.rebinding,Пренастройване
level.tutorial.assessor.carry.desc1_1,"Веднъж заключени върху теб, те ще те следват дори и когато спреш да натискаш бутон за събиране."
upgrades.keeper2pinballdamage1.title,Kinetic Sphere Damage 1
upgrades.stunlaserspeed2.desc,"Зашеметяващият лазер се движи още по-бързо и следи чудовища, докато се охлажда."
options.keybindings.title,НАСТРОЙВАНЕ НА КОНТРОЛИ
upgrades.keeper2pinballmorespheres2.desc,"Add an additional module to your gravity generator, so it can corral more kinetic spheres."
level.gameover.prestige.uploading.finalfailed,"качването на нов резултат е неуспешно, съжаляваме!"
upgrades.blastminingblast1.desc,Увеличава пробива на бомбата.
upgrades.stunlaserduration2.desc,Зашеметяващия лазер се охлажда по-бързо и стреля по-дълго.
upgrades.prospectionmetersand1.desc,Показва разстоянието до най-близкият депозит на кобалт.
pause.gamepadcontrols.move,Движение
properties.probe.charges,Бомби {}
upgrades.drillbotstrength2.title,Сила 2
loadout.prestige.cobalt.description,"Картата няма кобалт и не можеш да го генерираш, но в началото получаваш достатъчно от него."
